tsec,tnsec,seqNo,id,type,side,bid0,bid1,bid2,bid3,bid4,bid_size0,bid_size1,bid_size2,bid_size3,bid_size4,ask0,ask1,ask2,ask3,ask4,ask_size0,ask_size1,ask_size2,ask_size3,ask_size4
1780741408,310748000,0,1,U,N,6067198000000,6067197000000,6067196000000,6067185000000,0,88093000,35000,17000,9000,0,6067199000000,6067200000000,6067201000000,6067301000000,0,154956000,2353000,17000,40000,0
1780741408,409550000,2,1,U,N,6067198000000,6067197000000,6067196000000,6067185000000,0,81716000,35000,17000,9000,0,6067199000000,6067200000000,6067201000000,6067283000000,6067301000000,154938000,2335000,17000,841000,40000
1780741408,514261000,4,1,U,N,6067198000000,6067197000000,6067196000000,6067185000000,0,88533000,35000,17000,9000,0,6067199000000,6067200000000,6067201000000,6067283000000,6067301000000,154938000,2335000,17000,841000,40000
1780741408,608874000,6,1,U,N,6067198000000,6067197000000,6067196000000,6067185000000,0,183078000,35000,17000,9000,0,6067199000000,6067200000000,6067201000000,6067283000000,6067301000000,132910000,2353000,17000,841000,40000
1780741408,711139000,8,1,U,N,6067198000000,6067197000000,6067196000000,6067185000000,0,183135000,35000,17000,9000,0,6067199000000,6067200000000,6067201000000,6067283000000,6067301000000,91801000,2371000,17000,841000,40000
1780741408,915587000,20,1,U,N,6067198000000,6067197000000,6067196000000,6067185000000,0,157198000,35000,17000,9000,0,6067199000000,6067200000000,6067201000000,6067283000000,6067301000000,150467000,2344000,17000,841000,40000
1780741409,8206000,22,1,U,N,6067198000000,6067197000000,6067196000000,6067185000000,0,162482000,35000,17000,9000,0,6067199000000,6067200000000,6067201000000,6067283000000,6067301000000,133989000,2362000,17000,841000,40000
1780741409,11252000,24,1,U,N,6067198000000,6067197000000,6067196000000,6067185000000,0,196576000,35000,17000,9000,0,6067199000000,6067200000000,6067201000000,6067283000000,6067301000000,89720000,2371000,17000,841000,40000
1780741409,109648000,26,1,U,N,6067198000000,6067197000000,6067196000000,6067185000000,0,196624000,35000,17000,9000,0,6067199000000,6067200000000,6067201000000,6067283000000,6067301000000,89681000,2371000,17000,841000,40000
1780741409,208808000,28,1,U,N,6067198000000,6067197000000,6067196000000,6067185000000,0,196624000,35000,17000,9000,0,6067199000000,6067200000000,6067201000000,6067283000000,6067301000000,89672000,2380000,17000,841000,40000
1780741409,311227000,30,1,U,N,6067198000000,6067197000000,6067196000000,6067185000000,0,182825000,35000,17000,9000,0,6067199000000,6067200000000,6067201000000,6067283000000,6067301000000,89672000,2371000,17000,841000,40000
1780741409,409784000,32,1,U,N,6067198000000,6067197000000,6067196000000,6067185000000,0,182825000,35000,17000,9000,0,6067199000000,6067200000000,6067201000000,6067283000000,6067301000000,89672000,2371000,17000,841000,40000
1780741409,520251000,34,1,U,N,6067198000000,6067197000000,6067196000000,6067185000000,0,182825000,35000,17000,9000,0,6067199000000,6067200000000,6067201000000,6067283000000,6067301000000,89672000,2371000,17000,841000,40000
1780741409,611049000,36,1,U,N,6067198000000,6067197000000,6067196000000,6067185000000,0,182825000,35000,17000,9000,0,6067199000000,6067200000000,6067201000000,6067283000000,6067301000000,89663000,2362000,17000,841000,40000
1780741409,708861000,38,1,U,N,6067198000000,6067197000000,6067196000000,6067185000000,0,182825000,35000,17000,9000,0,6067199000000,6067200000000,6067201000000,6067283000000,6067301000000,89672000,2371000,17000,841000,40000
1780741409,809895000,40,1,U,N,6067198000000,6067197000000,6067196000000,6067185000000,0,182825000,35000,17000,9000,0,6067199000000,6067200000000,6067201000000,6067283000000,6067301000000,89823000,2371000,17000,841000,40000
1780741409,915348000,57,1,U,N,6067198000000,6067197000000,6067196000000,6067185000000,0,222782000,45000,17000,9000,0,6067199000000,6067200000000,6067201000000,6067283000000,6067301000000,62565000,2372000,17000,841000,40000
1780741410,13352000,59,1,U,N,6067198000000,6067197000000,6067196000000,6067185000000,0,195850000,45000,17000,9000,0,6067199000000,6067200000000,6067201000000,6067283000000,6067301000000,89815000,2372000,17000,841000,40000
1780741410,127237000,61,1,U,N,6067198000000,6067197000000,6067196000000,6067185000000,0,195859000,45000,17000,9000,0,6067199000000,6067200000000,6067201000000,6067283000000,6067301000000,89824000,2363000,17000,841000,40000
1780741410,211126000,64,1,U,N,6067198000000,6067197000000,6067196000000,6067185000000,0,195841000,45000,17000,9000,0,6067199000000,6067200000000,6067201000000,6067283000000,6067301000000,84621000,2363000,17000,841000,40000
1780741410,310480000,66,1,U,N,6067198000000,6067197000000,6067196000000,6067185000000,0,195841000,45000,17000,9000,0,6067199000000,6067200000000,6067201000000,6067283000000,6067301000000,57621000,2363000,17000,841000,40000
1780741410,408907000,68,1,U,N,6067198000000,6067197000000,6067196000000,6067185000000,0,195841000,45000,17000,9000,0,6067199000000,6067200000000,6067201000000,6067283000000,6067301000000,57621000,2372000,17000,841000,40000
1780741410,511221000,71,1,U,N,6067198000000,6067197000000,6067196000000,6067185000000,0,195841000,45000,17000,9000,0,6067199000000,6067200000000,6067201000000,6067283000000,6067301000000,84859000,2372000,17000,841000,40000
1780741410,609489000,73,1,U,N,6067198000000,6067197000000,6067196000000,6067185000000,0,195841000,45000,17000,9000,0,6067199000000,6067200000000,6067201000000,6067283000000,6067301000000,84859000,2372000,17000,841000,40000
1780741410,713191000,75,1,U,N,6067198000000,6067197000000,6067196000000,6067185000000,0,195886000,90000,17000,9000,0,6067199000000,6067200000000,6067201000000,6067283000000,6067301000000,124813000,2372000,17000,841000,40000
1780741410,808846000,77,1,U,N,6067198000000,6067197000000,6067196000000,6067185000000,0,181981000,54000,17000,9000,0,6067199000000,6067200000000,6067201000000,6067283000000,6067301000000,129887000,2381000,17000,841000,40000
1780741410,909033000,79,1,U,N,6067198000000,6067197000000,6067196000000,6067185000000,0,195779000,54000,17000,9000,0,6067199000000,6067200000000,6067201000000,6067283000000,6067301000000,90608000,2381000,17000,841000,40000
1780741411,27974000,81,1,U,N,6067198000000,6067197000000,6067196000000,6067185000000,0,171579000,54000,17000,9000,0,6067199000000,6067200000000,6067201000000,6067283000000,6067301000000,135741000,2381000,17000,841000,40000
1780741411,112240000,83,1,U,N,6067198000000,6067197000000,6067196000000,6067185000000,0,194968000,63000,17000,9000,0,6067199000000,6067200000000,6067201000000,6067283000000,6067301000000,135759000,2381000,17000,841000,40000
1780741411,209071000,85,1,U,N,6067198000000,6067197000000,6067196000000,6067185000000,0,194978000,63000,17000,9000,0,6067199000000,6067200000000,6067201000000,6067283000000,6067301000000,135741000,2372000,17000,841000,40000
1780741411,310512000,88,1,U,N,6067198000000,6067197000000,6067196000000,6067185000000,0,194509000,63000,17000,9000,0,6067199000000,6067200000000,6067201000000,6067283000000,6067301000000,135702000,2372000,17000,841000,40000
1780741411,410493000,90,1,U,N,6067198000000,6067197000000,6067196000000,6067185000000,0,139181000,90000,17000,9000,0,6067199000000,6067200000000,6067201000000,6067283000000,6067301000000,160014000,2372000,17000,841000,40000
1780741411,509376000,93,1,U,N,6067198000000,6067197000000,6067196000000,6067185000000,0,18182000,108000,17000,9000,0,6067199000000,6067200000000,6067201000000,6067279000000,6067283000000,164931000,2336000,17000,4073000,841000
1780741411,612190000,153,1,U,N,6067198000000,6067197000000,6067196000000,6067185000000,6066976000000,18182000,108000,17000,9000,23251000,6066977000000,6066978000000,6066979000000,6067062000000,6067199000000,369439000,168000,17000,9000,164931000
1780741411,709509000,155,1,U,N,6067198000000,6067197000000,6067196000000,6067185000000,6066976000000,18182000,108000,17000,9000,37201000,6066977000000,6066978000000,6066979000000,6067013000000,6067062000000,369518000,168000,17000,5349000,9000
1780741411,809225000,157,1,U,N,6067198000000,6067197000000,6067196000000,6067185000000,6066976000000,18182000,108000,17000,9000,53401000,6066977000000,6066978000000,6066979000000,6067013000000,6067062000000,369518000,168000,17000,5349000,9000
1780741411,917590000,159,1,U,N,6067198000000,6067197000000,6067196000000,6067185000000,6066976000000,18182000,108000,17000,9000,53401000,6066977000000,6066978000000,6066979000000,6067012000000,6067013000000,368694000,168000,17000,18000,5349000
1780741412,8694000,161,1,U,N,6067198000000,6067197000000,6067196000000,6067185000000,6066976000000,18182000,108000,17000,9000,53401000,6066977000000,6066978000000,6066979000000,6067012000000,6067013000000,376354000,168000,17000,18000,5349000
1780741412,110004000,163,1,U,N,6067198000000,6067197000000,6067196000000,6067185000000,6066976000000,18182000,108000,17000,9000,66628000,6066977000000,6066978000000,6066979000000,6067012000000,6067013000000,357737000,168000,17000,18000,5349000
